Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.127,0.412,0.404,0.942,0.846,719,754.2248
0.298,0.229,0.927,0.595,0.852,621,653.5664
0.002,0.135,0.845,0.216,0.117,711,726.6053333333333
0.02,0.114,0.91,0.073,0.213,224,239.317
0.564,0.716,0.918,0.812,0.514,303,335.40853333333337
0.914,0.66,0.465,0.11,0.78,717,746.2196666666666
0.06,0.362,0.356,0.792,0.055,121,135.826
0.665,0.58,0.362,0.305,0.736,121,143.91226666666668
0.063,0.477,0.959,0.48,0.756,200,230.06119999999999
0.286,0.188,0.369,0.595,0.177,301,316.7732
0.685,0.854,0.501,0.553,0.433,534,564.3343333333333
0.488,0.602,0.508,0.12,0.591,657,686.2644
0.36,0.892,0.971,0.35,0.664,92,121.9828
0.557,0.382,0.424,0.294,0.559,563,594.9448
0.259,0.266,0.31,0.68,0.129,702,722.344
0.93,0.666,0.943,0.133,0.685,648,672.7312
0.096,0.921,0.844,0.201,0.249,457,482.2068
0.694,0.225,0.65,0.989,0.632,533,574.5206666666667
0.157,0.568,0.275,0.538,0.248,454,469.79533333333336
0.223,0.457,0.605,0.323,0.825,424,452.4546
0.015,0.83,0.839,0.966,0.464,502,532.4362666666666
0.185,0.459,0.154,0.526,0.015,112,122.9824
0.378,0.615,0.056,0.997,0.552,195,226.25466666666665
0.472,0.677,0.629,0.108,0.036,447,460.2633333333333
0.521,0.44,0.251,0.598,0.78,677,699.5226666666667
0.835,0.388,0.867,0.923,0.635,372,410.4072
0.11,0.218,0.806,0.869,0.44,329,353.192
0.523,0.634,0.844,0.337,0.003,451,471.4696
0.485,0.299,0.369,0.307,0.114,688,702.0909333333334
0.556,0.646,0.891,0.33,0.716,276,309.9156
0.462,0.324,0.378,0.972,0.143,337,360.2798
0.26,0.189,0.433,0.827,0.082,662,681.981
0.606,0.75,0.093,0.562,0.692,159,187.05573333333334
0.64,0.567,0.529,0.801,0.064,148,174.163
0.403,0.416,0.183,0.21,0.709,310,328.9182666666667
0.893,0.811,0.119,0.715,0.598,284,315.3992
0.227,0.509,0.895,0.062,0.339,121,140.9682
0.5,0.686,0.765,0.135,0.347,335,355.18493333333333
0.247,0.12,0.721,0.986,0.669,287,324.7682
0.162,0.014,0.558,0.728,0.74,143,168.428
0.164,0.601,0.419,0.066,0.31,111,126.97319999999999
0.612,0.717,0.331,0.019,0.174,679,691.2206666666667
0.962,0.838,0.659,0.625,0.198,78,111.50066666666666
0.532,0.376,0.256,0.43,0.641,429,453.1869333333333
0.131,0.914,0.151,0.247,0.528,378,393.704
0.095,0.105,0.886,0.991,0.225,278,305.9136
0.092,0.394,0.583,0.462,0.199,365,378.4976
0.229,0.095,0.905,0.927,0.374,602,622.328
0.985,0.741,0.793,0.185,0.61,656,689.9682666666666
0.496,0.242,0.234,0.048,0.804,400,419.25373333333334
0.774,0.958,0.4,0.44,0.319,122,147.116
0.228,0.684,0.417,0.121,0.143,48,64.72346666666667
0.7,0.853,0.865,0.923,0.166,365,398.64793333333336
0.684,0.908,0.998,0.886,0.014,244,271.32399999999996
0.061,0.429,0.09,0.475,0.007,197,204.28933333333333
0.074,0.525,0.72,0.489,0.703,60,92.68533333333333
0.136,0.923,0.158,0.495,0.76,533,557.708
0.454,0.815,0.024,0.981,0.248,281,302.472
0.732,0.148,0.504,0.069,0.568,362,381.23040000000003
0.123,0.579,0.995,0.097,0.296,214,229.13053333333335
0.112,0.311,0.665,0.012,0.496,47,65.22426666666667
0.463,0.656,0.588,0.979,0.087,659,685.8259999999999
0.433,0.927,0.814,0.381,0.325,687,711.6844
0.138,0.838,0.852,0.348,0.701,157,187.89000000000001
0.322,0.545,0.23,0.784,0.724,445,473.3456
0.563,0.496,0.858,0.953,0.143,486,510.8138666666667
0.438,0.378,0.895,0.42,0.031,691,710.0466666666667
0.129,0.831,0.815,0.729,0.85,512,547.7262666666667
0.066,0.467,0.222,0.201,0.108,242,250.02666666666667
0.27,0.766,0.08,0.655,0.624,494,518.9024
0.755,0.913,0.206,0.084,0.105,690,702.7213333333333
0.707,0.37,0.729,0.223,0.791,286,317.6624
0.982,0.011,0.089,0.295,0.981,485,510.9912
0.005,0.151,0.136,0.172,0.914,271,293.29920000000004
0.097,0.321,0.787,0.885,0.811,135,171.363
0.005,0.561,0.046,0.553,0.54,570,591.4136000000001
0.31,0.415,0.978,0.189,0.146,210,230.016
0.206,0.572,0.007,0.487,0.138,661,671.9579333333332
0.838,0.478,0.134,0.903,0.009,557,572.9982
0.656,0.772,0.079,0.965,0.441,515,542.2064
0.406,0.62,0.876,0.243,0.381,282,306.7901333333333
0.632,0.045,0.051,0.144,0.697,495,509.808
0.208,0.317,0.998,0.859,0.326,295,319.92560000000003
0.43,0.547,0.794,0.741,0.214,515,539.3493333333333
0.667,0.664,0.734,0.321,0.565,417,446.3478666666667
0.364,0.7,0.909,0.112,0.19,398,418.0226
0.038,0.262,0.64,0.696,0.628,339,371.5032
0.39,0.7,0.767,0.753,0.064,166,193.21766666666667
0.174,0.188,0.388,0.585,0.49,500,521.6800000000001
0.868,0.802,0.152,0.993,0.78,574,614.32
0.779,0.018,0.809,0.39,0.262,122,140.336
0.399,0.15,0.772,0.534,0.243,456,477.6444
0.955,0.449,0.403,0.795,0.417,304,330.0912666666666
0.519,0.036,0.07,0.227,0.105,133,139.55306666666667
0.763,0.374,0.44,0.381,0.521,151,174.20000000000002
0.719,0.946,0.228,0.822,0.192,717,742.6462
0.459,0.032,0.055,0.112,0.354,466,473.74933333333337
0.773,0.948,0.056,0.413,0.394,598,620.3912
0.684,0.165,0.633,0.097,0.526,477,495.58380000000005
0.5,0.444,0.489,0.066,0.351,452,470.52119999999996
0.013,0.494,0.756,0.524,0.168,667,684.7876666666666
0.548,0.275,0.329,0.732,0.971,254,281.6304
0.73,0.741,0.732,0.165,0.676,439,471.1024
0.316,0.785,0.108,0.928,0.483,80,110.0132
0.448,0.755,0.856,0.085,0.892,443,470.35626666666667
0.285,0.839,0.226,0.829,0.908,627,664.7892
0.376,0.938,0.679,0.966,0.2,523,549.8488
0.547,0.527,0.333,0.221,0.772,678,702.9696
0.707,0.079,0.934,0.382,0.057,658,678.824
0.468,0.099,0.982,0.211,0.081,446,460.2589333333333
0.114,0.918,0.415,0.599,0.903,561,589.9705333333334
0.701,0.799,0.661,0.598,0.012,683,704.9977333333334
0.22,0.727,0.291,0.555,0.065,495,509.93653333333333
0.07,0.716,0.091,0.324,0.761,669,685.9608
0.901,0.212,0.934,0.148,0.131,151,175.00386666666668
0.254,0.775,0.822,0.767,0.632,265,295.7941333333333
0.587,0.456,0.738,0.482,0.66,318,349.59153333333336
0.03,0.608,0.828,0.535,0.93,54,91.17066666666668
0.015,0.573,0.534,0.631,0.106,691,709.6144
0.508,0.179,0.404,0.442,0.745,626,647.7035333333333
0.361,0.667,0.03,0.939,0.942,383,417.17
0.903,0.304,0.646,0.138,0.665,305,327.4664
0.455,0.165,0.206,0.348,0.52,182,200.7026666666667
0.86,0.487,0.114,0.113,0.309,651,664.91
0.24,0.827,0.715,0.652,0.913,622,650.4037333333333
0.641,0.341,0.245,0.451,0.839,705,733.4680666666666
0.726,0.429,0.46,0.311,0.98,633,658.5024
0.807,0.028,0.992,0.293,0.395,360,379.09506666666664
0.932,0.522,0.787,0.846,0.846,381,421.6334
0.786,0.092,0.54,0.761,0.348,449,474.0716
0.367,0.631,0.055,0.469,0.33,395,412.7333333333333
0.947,0.025,0.182,0.482,0.894,373,402.64639999999997
0.609,0.819,0.217,0.534,0.381,397,419.66740000000004
0.056,0.353,0.91,0.246,0.104,491,509.9848
0.88,0.076,0.065,0.549,0.698,416,434.89553333333333
0.153,0.901,0.647,0.436,0.299,651,677.6373333333333
0.401,0.706,0.832,0.088,0.463,164,183.99786666666668
0.5,0.551,0.917,0.912,0.473,571,605.5533333333334
0.494,0.465,0.287,0.225,0.067,87,98.49866666666668
0.143,0.899,0.692,0.339,0.409,68,92.72666666666667
0.802,0.011,0.099,0.328,0.536,151,167.3616
0.188,0.356,0.341,0.15,0.269,380,394.6984
0.671,0.689,0.528,0.286,0.282,380,398.56100000000004
0.459,0.649,0.218,0.126,0.473,491,509.656
0.501,0.58,0.798,0.441,0.257,480,497.0496
0.743,0.356,0.834,0.175,0.385,288,312.134
0.475,0.864,0.826,0.38,0.68,600,632.0033333333333
0.501,0.337,0.04,0.213,0.388,614,627.8958
0.846,0.659,0.988,0.808,0.194,224,252.612
0.194,0.684,0.219,0.262,0.793,639,661.1781333333333
0.634,0.185,0.907,0.501,0.18,203,229.07406666666665
0.195,0.629,0.027,0.102,0.41,248,259.1776
0.678,0.427,0.537,0.781,0.169,507,533.0773333333333
0.559,0.79,0.483,0.627,0.482,715,743.3533333333334
0.212,0.666,0.512,0.627,0.877,184,221.23253333333332
0.663,0.469,0.444,0.358,0.646,160,184.30399999999997
0.656,0.547,0.174,0.374,0.335,442,460.86906666666664
0.979,0.704,0.388,0.3,0.737,54,81.55760000000001
0.925,0.489,0.004,0.288,0.842,353,376.2864
0.41,0.663,0.7,0.851,0.863,576,609.1243333333333
0.197,0.162,0.622,0.773,0.591,438,463.302
0.875,0.219,0.032,0.667,0.215,69,82.3952
0.775,0.76,0.156,0.011,0.115,421,433.40066666666667
0.92,0.95,0.75,0.18,0.951,528,565.259
0.067,0.576,0.644,0.327,0.473,360,382.29173333333335
0.856,0.801,0.171,0.124,0.321,95,112.92106666666666
0.097,0.45,0.619,0.151,0.787,163,192.07913333333335
0.4,0.075,0.346,0.986,0.348,507,527.3616000000001
0.164,0.581,0.695,0.47,0.735,488,517.2889333333334
0.871,0.355,0.848,0.286,0.807,227,255.53226666666666
0.414,0.044,0.046,0.005,0.87,56,68.69200000000001
0.837,0.856,0.244,0.975,0.484,114,145.36326666666668
0.606,0.719,0.358,0.368,0.72,259,284.66200000000003
0.007,0.241,0.576,0.954,0.888,642,670.6261999999999
0.917,0.569,0.559,0.915,0.796,146,188.45546666666667
0.974,0.235,0.655,0.943,0.302,467,498.2876
0.067,0.317,0.676,0.384,0.429,366,391.64
0.079,0.287,0.288,0.482,0.047,225,237.02133333333336
0.787,0.908,0.686,0.524,0.266,278,304.4175333333333
0.358,0.727,0.579,0.361,0.789,544,570.814
0.29,0.848,0.809,0.336,0.059,306,329.8045333333333
0.224,0.998,0.311,0.314,0.485,313,336.69120000000004
0.811,0.475,0.902,0.458,0.797,363,393.852
0.374,0.896,0.306,0.264,0.764,323,343.1653333333333
0.002,0.658,0.09,0.275,0.246,561,574.5824
0.138,0.255,0.275,0.291,0.04,298,310.4828
0.342,0.703,0.164,0.693,0.823,71,106.89953333333332
0.502,0.41,0.126,0.087,0.893,69,90.27579999999999
0.537,0.048,0.837,0.411,0.279,242,260.9612
0.569,0.104,0.488,0.549,0.745,132,158.66253333333333
0.911,0.259,0.512,0.173,0.118,255,269.1566666666667
0.986,0.45,0.711,0.43,0.401,211,237.84586666666667
0.114,0.813,0.752,0.79,0.802,132,172.1976
0.465,0.004,0.799,0.414,0.567,693,720.4810666666666
0.16,0.989,0.374,0.991,0.625,501,538.2564000000001
0.809,0.918,0.132,0.353,0.01,323,335.6084
0.403,0.118,0.468,0.851,0.964,426,459.5388666666667
0.917,0.01,0.613,0.937,0.202,103,121.58386666666667
0.192,0.514,0.3,0.956,0.159,485,508.8111333333333
0.064,0.323,0.385,0.487,0.032,350,362.7136
0.783,0.234,0.901,0.111,0.688,684,706.9914666666666
0.543,0.358,0.593,0.874,0.551,405,433.48626666666667
0.835,0.463,0.059,0.676,0.983,457,486.94526666666667
0.117,0.022,0.968,0.27,0.689,569,599.36
0.819,0.383,0.014,0.249,0.548,596,614.5917333333333
0.56,0.662,0.856,0.097,0.971,676,704.4386666666667
0.53,0.719,0.901,0.61,0.463,266,301.19039999999995
0.915,0.092,0.251,0.374,0.356,235,253.11893333333333
0.087,0.559,0.715,0.972,0.861,41,80.2462
0.354,0.893,0.895,0.883,0.419,708,742.8399999999999
0.662,0.686,0.691,0.204,0.893,579,606.5381333333333
0.945,0.192,0.801,0.39,0.477,556,578.5192000000001
0.447,0.475,0.782,0.816,0.595,715,744.2805333333333
0.744,0.305,0.031,0.588,0.759,436,462.83213333333333
0.564,0.842,0.574,0.547,0.234,354,377.4496
0.265,0.638,0.096,0.584,0.143,430,447.568
0.649,0.602,0.164,0.033,0.521,626,645.3116
0.67,0.196,0.993,0.173,0.608,65,96.09199999999998
0.764,0.177,0.944,0.906,0.526,318,352.0133333333334
0.793,0.55,0.472,0.876,0.846,638,679.2271999999999
0.047,0.162,0.674,0.608,0.796,293,322.34999999999997
0.629,0.431,0.846,0.522,0.158,607,624.0372666666667
0.122,0.857,0.929,0.017,0.377,129,150.4816
0.777,0.667,0.244,0.919,0.816,346,379.21020000000004
0.611,0.618,0.062,0.952,0.709,282,316.4153333333333
0.917,0.605,0.258,0.736,0.523,429,453.252
0.297,0.491,0.87,0.933,0.885,142,170.9104
0.235,0.475,0.373,0.046,0.375,138,152.25246666666666
0.23,0.681,0.441,0.743,0.175,171,190.83520000000001
0.01,0.193,0.325,0.777,0.825,418,450.6952
0.633,0.873,0.156,0.488,0.177,140,159.3256
0.42,0.411,0.921,0.453,0.204,49,68.5994
0.128,0.785,0.844,0.437,0.548,366,397.966
0.426,0.174,0.95,0.52,0.133,234,257.353
0.258,0.047,0.056,0.197,0.174,534,541.986
0.91,0.286,0.236,0.442,0.621,138,156.8346666666667
0.544,0.698,0.649,0.338,0.959,548,586.1292
0.405,0.707,0.604,0.727,0.567,603,630.4970666666667
0.395,0.859,0.413,0.013,0.707,468,492.0552
0.888,0.979,0.256,0.765,0.302,340,365.0976
0.819,0.488,0.343,0.353,0.578,426,450.2284
0.49,0.627,0.132,0.44,0.523,685,708.8883333333334
0.361,0.097,0.756,0.78,0.368,433,456.349
0.381,0.478,0.653,0.589,0.676,222,261.13866666666667
0.483,0.724,0.288,0.016,0.108,63,75.0098
0.217,0.676,0.301,0.401,0.29,358,374.9464
0.211,0.658,0.18,0.867,0.656,299,324.8573333333334
0.704,0.28,0.618,0.227,0.618,254,281.0408
0.838,0.055,0.982,0.899,0.329,273,301.623
0.081,0.885,0.542,0.71,0.878,695,737.1142
0.367,0.179,0.317,0.629,0.984,178,210.19573333333335
0.612,0.007,0.488,0.524,0.602,511,534.9866666666667
0.385,0.685,0.61,0.227,0.031,379,390.4650666666667
0.497,0.26,0.22,0.478,0.024,709,722.5996666666667
0.374,0.76,0.519,0.726,0.761,157,196.96266666666665
0.408,0.383,0.396,0.923,0.437,522,553.8574666666667
0.032,0.64,0.563,0.721,0.342,139,168.87366666666668
0.452,0.921,0.439,0.475,0.638,82,108.103
0.474,0.011,0.709,0.233,0.126,610,624.508
0.964,0.781,0.682,0.041,0.855,713,743.0366666666666
0.618,0.227,0.698,0.964,0.74,38,73.0252
0.036,0.009,0.265,0.397,0.822,528,555.0609333333333
0.54,0.994,0.52,0.767,0.251,531,559.0366666666667
0.767,0.452,0.225,0.588,0.305,157,173.1798
0.634,0.194,0.733,0.083,0.948,556,574.7974666666667
0.426,0.312,0.047,0.865,0.968,223,245.7784
0.933,0.048,0.514,0.225,0.469,269,291.1008
0.319,0.528,0.236,0.91,0.717,583,614.0266666666666
0.236,0.923,0.588,0.427,0.098,549,570.3554666666666
0.764,0.106,0.914,0.635,0.554,663,699.7138666666666
0.575,0.956,0.284,0.647,0.496,112,132.17680000000001
0.242,0.73,0.267,0.391,0.217,709,725.4864
0.064,0.836,0.54,0.796,0.457,396,416.5916666666667
0.693,0.308,0.413,0.453,0.845,156,190.33999999999997
0.681,0.283,0.142,0.52,0.083,367,378.11466666666666
0.832,0.386,0.114,0.427,0.212,318,333.08480000000003
0.628,0.133,0.699,0.34,0.963,348,385.88613333333336
0.386,0.446,0.261,0.017,0.791,100,121.9024
0.449,0.891,0.812,0.836,0.64,326,364.8648
0.11,0.094,0.77,0.037,0.771,333,354.1552
0.755,0.097,0.041,0.575,0.767,440,465.9452
0.917,0.112,0.445,0.782,0.208,647,672.2472
0.88,0.888,0.48,0.56,0.105,335,364.731
0.425,0.491,0.276,0.426,0.913,475,509.016
0.717,0.665,0.32,0.078,0.163,389,401.1264
0.954,0.003,0.055,0.098,0.067,155,161.04986666666667
0.857,0.846,0.233,0.803,0.505,500,529.351
0.77,0.765,0.477,0.652,0.166,96,115.11733333333333
0.553,0.349,0.405,0.094,0.81,268,292.3517333333333
0.612,0.065,0.839,0.271,0.31,682,701.6433333333333
0.099,0.635,0.625,0.173,0.45,129,147.55800000000002
0.368,0.325,0.397,0.012,0.902,62,81.84986666666667
0.899,0.491,0.082,0.309,0.405,79,94.44560000000001
0.306,0.612,0.88,0.575,0.747,517,542.8526666666667
0.468,0.108,0.018,0.881,0.5,591,614.8924000000001
0.96,0.76,0.92,0.91,0.315,154,188.85
0.669,0.016,0.078,0.822,0.572,217,239.19340000000003
0.076,0.818,0.183,0.629,0.656,347,377.07946666666663
0.843,0.859,0.791,0.4,0.872,59,96.76586666666665
0.009,0.785,0.21,0.617,0.259,97,117.3048
0.033,0.215,0.029,0.715,0.426,52,72.68266666666666
0.711,0.322,0.151,0.413,0.003,591,604.205
0.622,0.709,0.041,0.468,0.835,63,85.44066666666667
0.367,0.562,0.762,0.318,0.208,692,713.5144666666666
0.324,0.879,0.037,0.518,0.737,341,371.74
0.868,0.198,0.421,0.457,0.321,215,235.26399999999998
0.226,0.542,0.56,0.925,0.744,292,325.312
0.447,0.159,0.582,0.729,0.946,60,97.91946666666666
0.462,0.113,0.744,0.9,0.674,548,575.0326666666667
0.763,0.393,0.251,0.941,0.331,595,622.2808666666667
0.107,0.491,0.064,0.627,0.444,641,661.4306
0.447,0.789,0.349,0.446,0.921,36,65.64446666666667
0.133,0.032,0.03,0.549,0.513,527,541.8074666666668
0.203,0.156,0.58,0.698,0.103,424,442.1692
0.887,0.622,0.836,0.413,0.37,97,121.423
0.37,0.806,0.989,0.019,0.535,295,320.6666666666667
0.141,0.302,0.334,0.575,0.525,463,479.4576
0.387,0.818,0.303,0.422,0.334,112,130.87
0.401,0.858,0.199,0.713,0.151,291,315.8626
0.586,0.74,0.079,0.367,0.641,594,612.6026666666667
0.361,0.847,0.394,0.174,0.313,290,315.29080000000005
0.792,0.815,0.123,0.556,0.466,218,234.159
0.345,0.218,0.335,0.135,0.428,128,143.77986666666666
0.977,0.877,0.75,0.784,0.164,632,659.4068
0.047,0.167,0.077,0.079,0.759,263,274.9649333333333
0.085,0.285,0.072,0.829,0.645,410,438.1656
0.203,0.301,0.292,0.669,0.034,594,612.7116
0.521,0.032,0.628,0.088,0.714,214,235.3033333333333
0.093,0.868,0.858,0.081,0.716,463,488.47479999999996
0.803,0.533,0.971,0.646,0.185,263,285.1093333333333
0.137,0.284,0.566,0.945,0.372,76,100.6652
0.37,0.329,0.744,0.575,0.82,577,606.624
0.707,0.694,0.643,0.42,0.778,157,191.5384
0.223,0.038,0.35,0.107,0.204,128,136.391
0.084,0.383,0.704,0.391,0.301,490,513.7219333333333
0.232,0.813,0.338,0.922,0.659,128,164.13500000000002
0.023,0.252,0.111,0.915,0.273,515,531.4780000000001
0.544,0.448,0.229,0.076,0.705,389,409.6474666666666
0.665,0.358,0.261,0.195,0.417,332,348.42806666666667
0.49,0.619,0.09,0.716,0.808,287,322.0145333333333
0.765,0.084,0.919,0.841,0.553,621,653.0754000000001
0.678,0.306,0.582,0.296,0.949,389,415.895
0.89,0.132,0.872,0.938,0.325,176,205.8802
0.271,0.121,0.586,0.424,0.976,568,597.49
0.274,0.498,0.287,0.48,0.415,197,216.19480000000001
0.855,0.545,0.134,0.095,0.299,47,62.480666666666664
0.792,0.654,0.167,0.824,0.097,425,447.54973333333334
0.871,0.353,0.298,0.842,0.26,184,209.22446666666664
0.897,0.927,0.271,0.948,0.407,387,424.564
0.327,0.869,0.212,0.708,0.896,251,287.71433333333334
0.538,0.261,0.175,0.652,0.28,489,504.6604
0.102,0.441,0.866,0.622,0.226,79,111.16
0.673,0.795,0.944,0.206,0.259,112,135.0848
